Id Ind;ID Kawak;Nombre del indicador;Unidad;Proceso/Subproceso;Descripción del indicador;Linea_Estrategica;Objetivo_Estrategico;Tipo de Indicador;Clasificación;Frecuencia;Fecha Desde;Fecha Hasta;Tipo de variables;Series;Sentido;Formula;Variable 1;Unidad V1;Fuente V1;Variable 2;Unidad V2;Fuente V2;Variable 3;Unidad V3;Fuente V3;Responsable del calculo;Responsable del analisis;Deficiente;Alerta;Satisfactorio;Sobresaliente;Meta Frecuencia;Semestre_1;Semestre_2;Deficiente <= Serie;Alerta Serie;Satisfactorio Serie;Sobresaliente >= Serie;Modificado;Creado;Creado por;Usuario_Aprobador;Fecha_Aprobación;Estado_aprobacion;Año;Estado_Indicador;PDI;CNA/SNIES;Desempeño del proceso;Decisiones Proceso;SubClasificación;Estado;Clasificación_ CNA;Formato_Evidencia;Nombre_Evidencia;Meta 1 Semestre Serie;Meta 2 Semestre Serie;Meta Anual Series;Tipo_Kawak;Factor_CNA;Caracteristica;Proyecto_Asociado;Tipo de elemento;Ruta de acceso
802;802;Eficiencia de capacidad instalada;Vicerrectoría del estudiante;Gestión De La Tecnología E Innovación Digital;Mide el porcentaje de requerimientos (ajustes, evolutivos y mejoras) del ecosistema tecnológico vigente que han sido atendidos con relación al total de solicitudes recibidas.;Transformación_Organizacional;Asegurar una arquitectura tecnológica institucional, centrada en la experiencia de la comunidad educativa;Gestión;Eficiencia;Trimestral;1/07/2025;31/07/2026;Serie Única;;Positivo;(Número de requerimientos atendidos/ Numero total de requerimientos solicitados/)×100;Número de requerimientos atendidos;Número;Portafolio de proyectos;Número total de requerimientos solicitados;Número;Mesa de soluciones;;;;Jefe de desarrollo;Director de desarrollo e innovación digital;0%-59,9%;60%-74,9%;75%-80%;>80%;75%;75%;75%;;;;;15/10/2025 22:26;7/07/2025 7:39;Vicente Antonio Villada Trejos;Vicente Antonio Villada Trejos;;;2025;Stand by;false;false;true;true;;Crear Indicador;Resultado;Imagen;Portafolio de proyectos;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
538;538;Cumplimiento de sesiones de socialización de planeación académica;Vicerrectoría del estudiante;Registro y Control;Mide el porcentaje de sesiones de socialización de la planeación académica por periodo;Transformación_Organizacional;Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos;Gestión;Eficacia;Semestral;1/07/2025;;Serie Única;;Positivo;(N de sesiones ejecutadas/ N de sesiones programadas)*100;N de sesiones ejecutadas;Número;;N de sesiones programadas;Número;;;;;Director Nac Admisiones, Registro y Cont;Director Nac Admisiones, Registro y Cont;0-79,9%;80%-99,9%;100%;101%;100%;100%;100%;;;;;14/05/2026 13:27;7/07/2025 9:12;Planeación y Gestión;Luz Marina Cuellar Trillos;;;2025;Stand by;false;false;true;true;;Eliminar;Resultado;;;;;;Gestión;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
539;539;CES emisión de certificados;Vicerrectoría del estudiante;Registro y Control;Mide el nivel de esfuerzo de los usuarios en la emisión de certificados Primer Nivel;Experiencia;Garantizar una experiencia significativa y de valor agregado a la comunidad POLI;Gestión;Eficacia;Semestral;1/07/2025;;Serie Única;;Positivo;CES emisión de certificados;CES emisión de certificados;Número;CX;;;;;;;Director Nac Admisiones, Registro y Cont;Director Nac Admisiones, Registro y Cont;>3,5;2,3 -  3,5;2,3 - 2;<2;2,3;2,3;2,3;;;;;3/06/2026 12:39;7/07/2025 9:22;Planeación y Gestión;Luz Marina Cuellar Trillos;;;2026;Stand by;false;false;true;true;;Actualizar Metas;Resultado;PDF;CX;;;;Gestión;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
805;805;Satisfacción con la estrategia de acompañamiento del proceso de inclusión;Vicerrectoría del estudiante;Gestión de la Responsabilidad Social;Mide la Satisfacción con la estrategia de acompañamiento del proceso de inclusión;Experiencia;Garantizar una experiencia significativa y de valor agregado a la comunidad POLI;Estratégico;Eficacia;Semestral;1/07/2025;;Serie Única;;Positivo;Nivel de satisfacción con la estrategia de acompañamiento del proceso de inclusión;Nivel de satisfacción con la estrategia de acompañamiento del proceso de inclusión;Porcentaje;CX;;;;;;;"Director de Experiencia E Inclusion
";"Director de Experiencia E Inclusion
";0-59,9%;60%-79,9%;80%-85%;>86%;;;80'%;;;;;15/10/2025 22:26;7/07/2025 10:26;Planeación y Gestión;Carolina Jurado Bernal;;;2025;Stand by;false;false;true;true;;Crear Indicador;Resultado;Pantallazo;Tablero de experiencia;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
549;549;CES Inscripción de asignaturas;Vicerrectoría del estudiante;Operaciones Académicas;Mide el nivel de esfuerzo del estudiante en el proceso de inscripción de asignaturas en modalidad pregrado virtual y presencial.;Experiencia;Garantizar una experiencia significativa y de valor agregado a la comunidad POLI;Gestión;Eficacia;Semestral;1/01/2025;;Serie Única;;Negativo;CES Inscripción de asignaturas;CES Inscripción de asignaturas;Número;CX;;;;;;;Jefe Procesos Financieros S.I.S y Ux;Jefe Procesos Financieros S.I.S y Ux, Director de operaciones pregrado y posgrado;>3,5;2,6-3,5;2,5-2,3;<2,3;2,5;2,5;2,5;;;;;15/10/2025 22:26;8/07/2025 8:53;Planeación y Gestión;Hilda Rocio Baquero Florez;;;2025;Stand by;false;false;true;true;;Crear Indicador;Resultado;PDF;CX;;;;Gestión;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
518;518;Cumplimiento Programa De Auditoría;Gerencia de planeación y gestión;Auditoría Interna;Mide el cumplimiento del programa anual de auditoría;Transformación_Organizacional;Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos;Gestión;Eficacia;Trimestral;31/12/2018;;Serie Única;0;Positivo;(Total de Auditorias internas realizadas/Total auditorias internas programadas)*100;Total de Auditorias internas realizadas;Número;Informe de auditorías;Total auditorias internas programadas;Número;Informe de auditorías;0;0;0;Director de control interno;Director de control interno;0%-79,99%;99,9%  - 80%;100%-104,99%;>105%;100%;100%;100%;;;;;5/06/2026 6:52;8/07/2025 20:55;Licec Ximena Silva Goyeneche;Magda Julieth Garzon Martinez;;;2026;Stand by;false;false;true;true;;Actualizar Metas;Resultado;PDF;Informe de auditorías;;;;Gestión;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
540;540;Nivel de Calidad de los Datos Cargados al SNIES;Vicerrectoría del estudiante;Datos y analítica;Mide el grado de calidad de los datos institucionales cargados al SNIES en cada uno de los cortes, considerando validaciones técnicas, consistencia, completitud y aceptación por parte del sistema. ;Transformación_Organizacional;Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos;Estratégico;Eficacia;Semestral;1/01/2025;;Serie Única;;Positivo;% nivel de calidad de los datos cargados al SNIES;% nivel de calidad de los datos cargados al SNIES;Porcentaje;HECCA;;;;;;;Analista de datos y analítica;Jefe de ingeniería de datos;0%-76,9%;77%-96,9%;97%-98%;99%;97%;97%;97%;;;;;23/06/2026 7:52;10/07/2025 12:16;Planeación y Gestión;Edgar Hernan Gutierrez Rodriguez;;;2025;Stand by;false;false;true;true;;Eliminar;SNIES Y OTROS ENTES;Pantallazo;Hecca;;;;Gestión;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
527;527;Participación de Grupos de Interés en la construcción del nuevo plan de desarrollo (PDI);Gerencia de planeación y gestión;Planeación Estratégica;Mide el nivel de participación de la comunidad (profesores, administrativos, estudiantes, egresados u otros grupos de interés) en los espacios de construcción colectiva del Plan de Desarrollo Institucional (PDI).  (Focus group y encuestas);Transformación_Organizacional;Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos;Estratégico;Eficacia;Anual;1/01/2025;;Serie Única;;Positivo;(Número de participantes en construcción del Plan de Desarrollo PDI/ Número de participantes esperados)*100;Número de participantes en construcción del Plan de Desarrollo PDI;Número;Listado de asistencia, encuestas;Número de participantes esperados;Número;;;;;Especialista de planeación estratégica;Especialista de planeación estratégica;0%-80%;80%-99%;100%;101%;100%;;100%;;;;;22/04/2026 14:49;11/07/2025 6:36;Planeación y Gestión;Catalina Hernandez Martinez;;;2025;Stand by;false;false;false;false;;Eliminar;Resultado;Excel;Listados de asistencia y encuestas;;"Focus Group
Estudiantes: 15
Profesores: 15
Graduados: 15
Empresarios: 15
Administrativos: 15
Proveedores: 15

Encuestas
Estudiantes: 1.500
Profesores: 300
Colaboradores: 300
Graduados: 150";"Focus Group
Estudiantes: 15
Profesores: 15
Graduados: 15
Empresarios: 15
Administrativos: 15
Proveedores: 15

Encuestas
Estudiantes: 1.500
Profesores: 300
Colaboradores: 300
Graduados: 150";Gestión;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
528;528;Participación de la comunidad en la jornada de Balance Institucional;Gerencia de planeación y gestión;Planeación Estratégica;Mide el nivel de asistencia y participación efectiva de los grupos de interés (estudiantes, docentes, administrativos, egresados etc) presencial y offline en los espacios institucionales de rendición de cuentas, como mecanismo de transparencia.;Transformación_Organizacional;Fortalecer la gestión por procesos y la toma de decisiones basada en el análisis de los datos;Estratégico;Eficacia;Anual;1/01/2025;;Serie Única;;Positivo;"(Número de participantes en la rendición de cuentas /Número total de participantes esperados)*100
";Número de participantes en la rendición de cuentas;Número;Listado de asistencia o Número de vistas etc.;Número total de participantes esperados;Número;;;;;Especialista de planeación estratégica;Especialista de planeación estratégica;0%-80%;80%-99,9%;100%;101%;100%;100%;;;;;;20/05/2026 10:53;11/07/2025 6:44;Planeación y Gestión;Catalina Hernandez Martinez;;;2026;Stand by;false;false;false;false;;Actualizar Metas;Resultado;Mutiformato;Evidencias de participaciones;"2000
Grupos de interés
Estudiantes
Profesores
Graduados
CSU";;;Gestión;Factor 2. Gobierno institucional y transparencia;Característica 6. Rendición de cuentas;Fortalecimiento de las Herramientas de Gestión para el mejoramiento continuo;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
546;546;Tasa de participación de graduados en instrumentos de seguimiento (M0, M1, M5);Vicerrectoría académica;Gestión de Graduados;"Mide el porcentaje de graduados que participan en los instrumentos institucionales de seguimiento aplicados en diferentes momentos de la trayectoria del graduado (Momento 0: al momento de grado; Momento 1: 1 año después; Momento 5: 5 años después), con el fin de conocer su percepción, vinculación y trayectoria.

Plataforma de graduados se implementa para el momento 0 desde 2025-2";Calidad;Asegurar la alta calidad a nivel institucional;Estratégico;Efectividad;Anual;1/01/2025;;Multiserie;"M0
M1
M5";Positivo;Número de graduados que respondieron el instrumento/ Número de graduados del momento;Número de graduados que respondieron el instrumento;Número;Forms - Plataforma de graduados;Número de graduados del momento;;Banner;;;;Director de graduados y proyección empresarial;Director de graduados y proyección empresarial;0-80%;99.9%-80%;100%;101%;100%;;100%;;;;;15/10/2025 22:26;15/07/2025 7:06;Planeación y Gestión;Cristina Forero Rodriguez;;;2025;Stand by;false;false;false;false;;Crear Indicador;Resultado;Tablero;Informe anual;;"M0:  90% tasa de respuesta
M1: 9% tasa de respuesta
M5: 3,5% tasa de respuesta";"M0:  90% tasa de respuesta
M1: 9% tasa de respuesta
M5: 3,5% tasa de respuesta";Gestión;Factor 12. Comunidad de egresados;Característica 36. Seguimiento a egresados;Redefinición de Modelo de seguimiento y acompañamiento al Graduado;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
811;811;Tasa de cotización del graduado - Metrica;Vicerrectoría académica;Gestión de Graduados;Mide el porcentaje de graduados que se encuentran realizando aportes al sistema de seguridad social (cotizantes) con respecto al total de graduados que responden la encuesta;Sostenibilidad;Contribuir a la inclusión, la proyección social y el cuidado del medio ambiente;Estratégico;Eficacia;Anual;1/01/2025;;Multiserie;"M0
M1
M5
Institucional";Positivo;(Número de graduados identificados como cotizantes/ Número de graduados que responden el instrumento)*100;Número de graduados identificados como cotizantes;Número;Instrumento M0-M1-M5;Número de graduados que responden el instrumento;Número;;;;;Dirección de graduados y proyección empresarial;Dirección de graduados y proyección empresarial;Sin meta;Sin meta;Sin meta;Sin meta;Sin meta;Sin meta;Sin meta;Sin meta;Sin meta;Sin meta;Sin meta;15/10/2025 22:26;15/07/2025 7:15;Planeación y Gestión;Cristina Forero Rodriguez;;;2025;Stand by;false;false;false;false;;Crear Indicador;Resultado;Informe;Informe de seguimiento al graduado;Sin meta;Sin meta;Sin meta;Pendiente;Factor 12. Comunidad de egresados;Característica 37. Egresados y programas académicos;Redefinición de Modelo de seguimiento y acompañamiento al Graduado;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
812;812;Nivel de satisfacción del graduado con la institución - Metrica;Vicerrectoría académica;Gestión de Graduados;Evalúa el nivel de satisfacción general de los graduados con su proceso de formación y los servicios prestados por la institución.;Experiencia;Garantizar una experiencia significativa y de valor agregado a la comunidad POLI;Gestión;Eficacia;Anual;1/01/2025;;Serie Única;;Positivo;Escala de satisfacción del graduado con la institución 1-5;Satisfacción del graduado con la institución Escala1-5;Número;Instrumentos de graduados;;;;;;;Dirección de graduados y proyección empresarial;Dirección de graduados y proyección empresarial;Sin Meta;Sin Meta;Sin Meta;Sin Meta;Sin Meta;Sin Meta;Sin Meta;;;;;15/10/2025 22:26;15/07/2025 7:38;Planeación y Gestión;Cristina Forero Rodriguez;;;2025;Stand by;false;false;false;false;;Crear Indicador;Resultado;Informe;Informe de seguimiento a graduados;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
556;556;Cumplimiento Plan de formación Intitucional;Gerencia de talento humano y comunicaciones;Gestión Y Desarrollo Del Talento Humano;Mide el nivel de cumplimiento del Plan de formación institucional el cual esta dividido en 7 lineas de formación ( Formación Bilingue, Formación Pedagógica,  Formación Digital, Formación en investigación, innovación e internacionalización, Formación Disciplinar, Formación Complementaria, Formación POLISIGS);Transformación_Organizacional;Contar con un equipo humano feliz y apasionado, que trabaja de forma colaborativa para alcanzar las metas institucionales;Gestión;Eficacia;Trimestral;1/01/2025;;Serie Única;;Positivo;% de Avance del Plan de formación;% de Avance del Plan de formación;Porcentaje;Project;;;;;;;Director de Formación y Desarrollo;Director de Formación y Desarrollo;0-79.9%;80%-94.9%;95%;100%;95%;95%;95%;;;;;27/05/2026 13:52;16/07/2025 13:36;Planeación y Gestión;Andrea Carmona Guerra;;;2026;Stand by;false;false;true;true;;Crear Indicador;Resultado;Pantallazo;Avance de proyecto;;;;Pendiente;;;;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
532;532;Actividades de Cooperación en Internacionalización;Vicerrectoría académica;Visibilidad Nacional E Internacional;Mide la cantidad total de actividades implementadas por la institución para fomentar la cooperación académica internacional y nacional, mediante la organización de espacios de intercambio, formación y aprendizaje conjunto. Incluye clases espejo, seminarios y cursos internacionales virtuales, asignaturas COIL y otros escenarios de visibilidad.;Calidad;Asegurar la alta calidad a nivel institucional;Estratégico;Eficacia;Semestral;1/01/2025;;Multiserie;"Organización de escenarios de visibilidad nacional e internacional
Clases espejo
Seminarios y cursos internacionales virtuales impartidos y certificados por entidades externas
N de asignaturas COIL - (Collaborative Online International Learning)";Positivo;(N Actividades realizadas / N Actividades Planeadas en el periodo)*100;N° Actividades realizadas;Número;; N° Actividades Planeadas en el periodo;Número;;;;;Directora oficina de relaciones nacionales e internacionales;Directora oficina de relaciones nacionales e internacionales;0-79,9%;80-99,9%;100%;>101%;100%;100%;100%;0-79,9%;80-99,9%;100%;101%;16/10/2025 5:16;16/07/2025 21:06;Planeación y Gestión;Raquel Breton de Schultze-Kraft;;;2025;Stand by;false;false;true;true;;Crear Indicador;Resultado;;;"Organización de escenarios de visibilidad nacional e internacional: 50
Clases espejo: 100
Seminarios y cursos internacionales virtuales impartidos y certificados por entidades externas: 6
N de asignaturas COIL - (Collaborative Online International Learning): 25";"Organización de escenarios de visibilidad nacional e internacional: 30
Clases espejo: 100
Seminarios y cursos internacionales virtuales impartidos y certificados por entidades externas: 6
N de asignaturas COIL - (Collaborative Online International Learning): 25";"Organización de escenarios de visibilidad nacional e internacional: 80
Clases espejo: 200
Seminarios y cursos internacionales virtuales impartidos y certificados por entidades externas: 12
N de asignaturas COIL - (Collaborative Online International Learning): 50";Gestión;Factor 8. Visibilidad nacional e internacional;Característica 25. Inserción de la institución en contextos académicos nacionales e internacionales;Fortalecimiento de la internacionalizacion;Elemento;sites/Indicadores2/Lists/Ficha_tecnica_indicadores
